operationType,recordedAtNanos,latencyNanos,quorumCheckOnRead,leaseEnabled,deferCommitEnabled,inheritLeaseEnabled
read,1738554454756912595,940346,False,False,False,False
read,1738554454757853080,1107383,False,False,False,False
read,1738554454758960863,752963,False,False,False,False
read,1738554454759714226,665218,False,False,False,False
read,1738554454760379589,882068,False,False,False,False
read,1738554454761261784,758497,False,False,False,False
read,1738554454762020409,750594,False,False,False,False
read,1738554454762771120,761112,False,False,False,False
read,1738554454763532388,678522,False,False,False,False
read,1738554454764211044,413025,False,False,False,False
read,1738554454764624188,952805,False,False,False,False
read,1738554454765577238,964680,False,False,False,False
read,1738554454766542135,1085056,False,False,False,False
read,1738554454767627528,648575,False,False,False,False
read,1738554454768276231,503120,False,False,False,False
read,1738554454768779561,601534,False,False,False,False
read,1738554454769381215,536186,False,False,False,False
read,1738554454769917497,630222,False,False,False,False
read,1738554454770547864,1187257,False,False,False,False
read,1738554454771735566,564383,False,False,False,False
read,1738554454772300058,770811,False,False,False,False
read,1738554454773071013,516160,False,False,False,False
read,1738554454773587301,1140972,False,False,False,False
read,1738554454774728656,958757,False,False,False,False
read,1738554454775687644,892788,False,False,False,False
read,1738554454776580544,889002,False,False,False,False
read,1738554454777469681,616222,False,False,False,False
read,1738554454778086029,1022668,False,False,False,False
read,1738554454779108845,688179,False,False,False,False
read,1738554454779797259,273102,False,False,False,False
read,1738554454780070493,792929,False,False,False,False
read,1738554454780863623,571402,False,False,False,False
read,1738554454781435119,463407,False,False,False,False
read,1738554454781898662,1326310,False,False,False,False
read,1738554454783225099,1039707,False,False,False,False
read,1738554454784265121,724090,False,False,False,False
read,1738554454784989329,2688361,False,False,False,False
read,1738554454787677955,2184441,False,False,False,False
read,1738554454789862598,785799,False,False,False,False
read,1738554454790648572,561821,False,False,False,False
read,1738554454791210590,561056,False,False,False,False
read,1738554454791771970,874866,False,False,False,False
read,1738554454792647088,1035393,False,False,False,False
read,1738554454793683065,652346,False,False,False,False
read,1738554454794335624,541365,False,False,False,False
read,1738554454794877114,554531,False,False,False,False
read,1738554454795431842,916498,False,False,False,False
read,1738554454796348479,2575006,False,False,False,False
read,1738554454798923682,576573,False,False,False,False
read,1738554454799500411,805929,False,False,False,False
read,1738554454800306465,834539,False,False,False,False
read,1738554454801141190,806001,False,False,False,False
read,1738554454801947316,572822,False,False,False,False
read,1738554454802520234,631558,False,False,False,False
read,1738554454803151910,578745,False,False,False,False
read,1738554454803730820,1087819,False,False,False,False
read,1738554454804818916,988151,False,False,False,False
read,1738554454805807281,643137,False,False,False,False
read,1738554454806450596,642620,False,False,False,False
read,1738554454807093397,2639044,False,False,False,False
read,1738554454809732551,2238426,False,False,False,False
read,1738554454811971078,528550,False,False,False,False
read,1738554454812499927,491372,False,False,False,False
read,1738554454812991502,642293,False,False,False,False
read,1738554454813633921,850434,False,False,False,False
read,1738554454814484478,751142,False,False,False,False
read,1738554454815235768,618251,False,False,False,False
read,1738554454815854259,509121,False,False,False,False
read,1738554454816363541,616845,False,False,False,False
read,1738554454816980716,475203,False,False,False,False
read,1738554454817456046,627907,False,False,False,False
read,1738554454818084153,1038765,False,False,False,False
read,1738554454819123115,1319511,False,False,False,False
